epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,2692.35,1.14417,0.73254,1.08748,0.83967,0.81051,0.87899,0.54813,1.34623,0.80374,1.18235,0.00101,0.00101,0.00101
17,2861.64,1.17173,0.75521,1.10246,0.78548,0.8869,0.8875,0.57804,1.24747,0.74284,1.14739,0.000944,0.000944,0.000944
18,3027.02,1.12634,0.7091,1.08559,0.78216,0.91071,0.89677,0.59976,1.33141,0.74603,1.17978,0.000878,0.000878,0.000878
19,3192.8,1.08764,0.69276,1.07972,0.82601,0.87605,0.89346,0.58745,1.31139,0.77709,1.16903,0.000812,0.000812,0.000812
20,3361.53,1.13662,0.6778,1.09321,0.85135,0.81818,0.8961,0.57974,1.32196,0.78411,1.18688,0.000746,0.000746,0.000746
21,3518.44,1.07796,0.66574,1.07829,0.81811,0.88095,0.91209,0.60185,1.34009,0.71968,1.21139,0.00068,0.00068,0.00068
22,3680.3,1.06904,0.65525,1.08549,0.82594,0.82143,0.87955,0.57025,1.27496,0.7432,1.15641,0.000614,0.000614,0.000614
23,3841.82,1.03988,0.60885,1.06837,0.84136,0.85236,0.8983,0.58387,1.31428,0.72881,1.16578,0.000548,0.000548,0.000548
24,4007.93,1.0451,0.60503,1.07098,0.83732,0.86905,0.89812,0.57945,1.33895,0.73479,1.19751,0.000482,0.000482,0.000482
25,4168.17,1.02989,0.58842,1.04596,0.89743,0.80952,0.91271,0.59401,1.31184,0.72102,1.18403,0.000416,0.000416,0.000416
26,4335.55,1.01193,0.5637,1.04455,0.87131,0.83333,0.91001,0.5955,1.29981,0.71015,1.17516,0.00035,0.00035,0.00035
27,4500.57,0.97749,0.54297,1.02464,0.89918,0.81548,0.9122,0.58762,1.30869,0.73364,1.17738,0.000284,0.000284,0.000284
28,4662.14,0.98385,0.54674,1.02352,0.8654,0.84196,0.91354,0.59952,1.31641,0.69992,1.18707,0.000218,0.000218,0.000218
29,4829.76,0.96022,0.52086,1.01677,0.88502,0.84524,0.91601,0.60525,1.32962,0.6809,1.1986,0.000152,0.000152,0.000152
30,4995.94,0.96448,0.52256,1.0242,0.87453,0.85714,0.91909,0.60428,1.34047,0.67875,1.2038,8.6e-05,8.6e-05,8.6e-05
